Name,State,Zip
LA_05,LA,
NC_12,NC,
AL_04,AL,
CA_31,CA,
GA_12,GA,
TX_32,TX,
MI_03,MI,
MI_03,MI,
NV_02,NV,
ND_AL,ND,
TX_19,TX,
IA_03,IA,
TX_36,TX,
NE_02,NE,
IN_04,IN,
OH_12,OH,
IN_03,IN,
KY_06,KY,
CA_44,CA,
CA_37,CA,
OH_03,OH,
CA_07,CA,
MI_01,MI,
VA_08,VA,
AZ_05,AZ,
FL_12,FL,
UT_01,UT,
NC_09,NC,
GA_02,GA,
OR_03,OR,
DE_AL,DE,
OR_01,OR,
IL_12,IL,
PA_02,PA,
TX_08,TX,
NY_22,NY,
AL_05,AL,
IN_05,IN,
MD_04,MD,
CA_26,CA,
FL_16,FL,
CO_04,CO,
IN_08,IN,
NC_13,NC,
TN_02,TN,
TX_26,TX,
IL_17,IL,
NC_01,NC,
AL_01,AL,
CA_42,CA,
CA_24,CA,
CA_29,CA,
IN_07,IN,
TX_31,TX,
GA_01,GA,
PA_08,PA,
HI_01,HI,
IL_06,IL,
FL_14,FL,
TX_20,TX,
OH_01,OH,
WY_AL,WY,
CA_27,CA,
RI_01,RI,
CA_39,CA,
MA_05,MA,
NY_09,NY,
MO_01,MO,
MO_05,MO,
VA_06,VA,
TX_27,TX,
SC_06,SC,
TN_09,TN,
OK_04,OK,
GA_09,GA,
NY_27,NY,
KY_01,KY,
TX_11,TX,
VA_11,VA,
CA_08,CA,
TN_05,TN,
CA_46,CA,
CA_16,CA,
CT_02,CT,
CA_21,CA,
MN_02,MN,
AR_01,AR,
TX_02,TX,
FL_13,FL,
CO_06,CO,
TX_28,TX,
MD_07,MD,
SC_01,SC,
UT_03,UT,
KS_03,KS,
OH_08,OH,
IL_07,IL,
IL_13,IL,
CA_53,CA,
PA_04,PA,
OR_04,OR,
CO_01,CO,
CT_03,CT,
WA_01,WA,
NY_19,NY,
FL_10,FL,
CA_11,CA,
TN_04,TN,
FL_22,FL,
FL_25,FL,
MI_12,MI,
TX_35,TX,
PA_18,PA,
WI_07,WI,
SC_03,SC,
FL_02,FL,
MN_06,MN,
NY_16,NY,
TX_16,TX,
CA_18,CA,
NY_13,NY,
KS_04,KS,
PA_03,PA,
GA_03,GA,
IA_01,IA,
PA_01,PA,
TN_03,TN,
TX_07,TX,
TX_17,TX,
NE_01,NE,
IL_11,IL,
NC_05,NC,
FL_21,FL,
OH_11,OH,
ID_01,ID,
HI_02,HI,
FL_01,FL,
WI_08,WI,
AZ_07,AZ,
CA_03,CA,
TX_29,TX,
IL_04,IL,
MT_AL,MT,
OH_07,OH,
TX_01,TX,
ME_02,ME,
CA_34,CA,
OH_16,OH,
TX_15,TX,
PR_AL,PR,
TX_05,TX,
AZ_04,AZ,
NJ_05,NJ,
TX_12,TX,
GA_14,GA,
LA_06,LA,
MO_06,MO,
TX_09,TX,
TN_07,TN,
VA_09,VA,
AZ_03,AZ,
WI_06,WI,
MS_03,MS,
KY_02,KY,
NM_01,NM,
MN_01,MN,
CA_10,CA,
MD_01,MD,
MO_04,MO,
FL_20,FL,
CT_05,CT,
WA_10,WA,
OK_01,OK,
WA_03,WA,
GA_10,GA,
LA_03,LA,
NY_26,NY,
CA_25,CA,
AR_02,AR,
CT_04,CT,
NC_02,NC,
IN_09,IN,
OK_05,OK,
NV_04,NV,
PA_06,PA,
MD_05,MD,
NC_08,NC,
CA_02,CA,
MI_02,MI,
CA_50,CA,
TX_23,TX,
TX_18,TX,
WA_07,WA,
NY_08,NY,
LA_04,LA,
SD_AL,SD,
OH_06,OH,
TX_30,TX,
GA_04,GA,
NC_03,NC,
OH_04,OH,
OH_14,OH,
PA_13,PA,
OH_09,OH,
NY_24,NY,
MA_09,MA,
PA_12,PA,
IL_02,IL,
PA_16,PA,
MS_01,MS,
MA_04,MA,
CA_17,CA,
MI_05,MI,
WA_06,WA,
NJ_03,NJ,
WI_03,WI,
NY_02,NY,
IA_04,IA,
IL_16,IL,
AZ_02,AZ,
IL_08,IL,
NH_02,NH,
TN_08,TN,
IL_18,IL,
CA_01,CA,
PA_17,PA,
CO_05,CO,
RI_02,RI,
WA_02,WA,
CT_01,CT,
OH_05,OH,
MI_14,MI,
FL_05,FL,
CA_13,CA,
NV_03,NV,
AZ_08,AZ,
CA_49,CA,
MI_09,MI,
GA_05,GA,
CA_33,CA,
IL_03,IL,
IA_02,IA,
CA_19,CA,
MO_07,MO,
GA_11,GA,
CA_47,CA,
NY_17,NY,
OK_03,OK,
MO_03,MO,
NM_03,NM,
VA_02,VA,
MA_08,MA,
NJ_07,NJ,
NY_18,NY,
NY_12,NY,
TX_24,TX,
PA_12,PA,
