Name,Party,State,District,Title,Website,Facebook,Twitter
Ralph Abraham,R,LA,LA_05,Representative,https://abraham.house.gov,CongressmanRalphAbraham,RepAbraham
Alma Adams,D,NC,NC_12,Representative,https://adams.house.gov,CongresswomanAdams,RepAdams
Robert Aderholt,R,AL,AL_04,Representative,https://aderholt.house.gov,RobertAderholt,Robert_Aderholt
Pete Aguilar,D,CA,CA_31,Representative,https://aguilar.house.gov,reppeteaguilar,reppeteaguilar
Rick Allen,R,GA,GA_12,Representative,https://allen.house.gov,CongressmanRickAllen,reprickallen
Colin Allred,D,TX,TX_32,Representative,https://allred.house.gov/,,RepColinAllred
Justin Amash,R,MI,MI_03,Representative,https://amash.house.gov,repjustinamash,
Justin Amash,I,MI,MI_03,Representative,https://amash.house.gov,repjustinamash,
Mark Amodei,R,NV,NV_02,Representative,https://amodei.house.gov,MarkAmodeiNV2,MarkAmodeiNV2
Kelly Armstrong,R,ND,ND_AL,Representative,https://armstrong.house.gov/,,RepArmstrongND
Jodey Arrington,R,TX,TX_19,Representative,https://arrington.house.gov,JodeyArrington,RepArrington
Cynthia Axne,D,IA,IA_03,Representative,https://axne.house.gov/,,RepCindyAxne
Brian Babin,R,TX,TX_36,Representative,https://babin.house.gov,RepBrianBabin,RepBrianBabin
Don Bacon,R,NE,NE_02,Representative,https://bacon.house.gov,RepDonBacon,repdonbacon
James Baird,R,IN,IN_04,Representative,https://baird.house.gov/,,RepJimBaird
Troy Balderson,R,OH,OH_12,Representative,https://balderson.house.gov/,,RepBalderson
Jim Banks,R,IN,IN_03,Representative,https://banks.house.gov,RepJimBanks,RepJimBanks
Andy Barr,R,KY,KY_06,Representative,https://barr.house.gov,RepAndyBarr,RepAndyBarr
Nanette Barragán,D,CA,CA_44,Representative,https://barragan.house.gov,CongresswomanBarragan,RepBarragan
Karen Bass,D,CA,CA_37,Representative,https://bass.house.gov,RepKarenBass,RepKarenBass
Joyce Beatty,D,OH,OH_03,Representative,https://beatty.house.gov,RepJoyceBeatty,RepBeatty
Ami Bera,D,CA,CA_07,Representative,https://bera.house.gov,RepAmiBera,RepBera
Jack Bergman,R,MI,MI_01,Representative,https://bergman.house.gov,RepJackBergman,RepJackBergman
Donald Beyer,D,VA,VA_08,Representative,https://beyer.house.gov,RepDonBeyer,RepDonBeyer
Andy Biggs,R,AZ,AZ_05,Representative,https://biggs.house.gov,RepAndyBiggs,RepAndyBiggsAZ
Gus Bilirakis,R,FL,FL_12,Representative,https://bilirakis.house.gov,GusBilirakis,RepGusBilirakis
Dan Bishop,R,NC,NC_09,Representative,https://danbishop.house.gov/,,RepDanBishop
Rob Bishop,R,UT,UT_01,Representative,https://robbishop.house.gov,RepRobBishop,RepRobBishop
Sanford Bishop,D,GA,GA_02,Representative,https://bishop.house.gov,sanfordbishop,SanfordBishop
Earl Blumenauer,D,OR,OR_03,Representative,https://blumenauer.house.gov,,BlumenauerMedia
