Name,Party,State,District,Title,Website,Facebook,Twitter
Lamar Alexander,R,TN,,Senator - 2nd Class,https://www.alexander.senate.gov/public,senatorlamaralexander,SenAlexander
Tammy Baldwin,D,WI,,Senator - 1st Class,https://www.baldwin.senate.gov,senatortammybaldwin,SenatorBaldwin
John Barrasso,R,WY,,Senator - 1st Class,https://www.barrasso.senate.gov,johnbarrasso,SenJohnBarrasso
Michael Bennet,D,CO,,Senator - 3rd Class,https://www.bennet.senate.gov/public,senbennetco,SenBennetCo
Marsha Blackburn,R,TN,,Senator - 1st Class,https://www.blackburn.senate.gov,marshablackburn,MarshaBlackburn
Richard Blumenthal,D,CT,,Senator - 3rd Class,https://www.blumenthal.senate.gov,SenBlumenthal,SenBlumenthal
Roy Blunt,R,MO,,Senator - 3rd Class,https://www.blunt.senate.gov,SenatorBlunt,RoyBlunt
Cory Booker,D,NJ,,Senator - 2nd Class,https://www.booker.senate.gov,,SenBooker
John Boozman,R,AR,,Senator - 3rd Class,https://www.boozman.senate.gov/public,JohnBoozman,JohnBoozman
Mike Braun,R,IN,,Senator - 1st Class,https://www.braun.senate.gov,,SenatorBraun
Sherrod Brown,D,OH,,Senator - 1st Class,https://www.brown.senate.gov,SenatorSherrodBrown,SenSherrodBrown
Richard Burr,R,NC,,Senator - 3rd Class,https://www.burr.senate.gov,SenatorRichardBurr,SenatorBurr
Maria Cantwell,D,WA,,Senator - 1st Class,https://www.cantwell.senate.gov,senatorcantwell,SenatorCantwell
Shelley Capito,R,WV,,Senator - 2nd Class,https://www.capito.senate.gov,senshelley,SenCapito
Benjamin Cardin,D,MD,,Senator - 1st Class,https://www.cardin.senate.gov,senatorbencardin,SenatorCardin
Thomas Carper,D,DE,,Senator - 1st Class,https://www.carper.senate.gov/public,tomcarper,SenatorCarper
Bob Casey,D,PA,,Senator - 1st Class,https://www.casey.senate.gov,SenatorBobCasey,SenBobCasey
Bill Cassidy,R,LA,,Senator - 2nd Class,https://www.cassidy.senate.gov,,
Susan Collins,R,ME,,Senator - 2nd Class,https://www.collins.senate.gov,susancollins,SenatorCollins
Christopher Coons,D,DE,,Senator - 2nd Class,https://www.coons.senate.gov,senatorchriscoons,ChrisCoons
John Cornyn,R,TX,,Senator - 2nd Class,https://www.cornyn.senate.gov,sen.johncornyn,JohnCornyn
Catherine Cortez Masto,D,NV,,Senator - 3rd Class,https://www.cortezmasto.senate.gov,SenatorCortezMasto,sencortezmasto
Tom Cotton,R,AR,,Senator - 2nd Class,https://www.cotton.senate.gov,SenatorTomCotton,SenTomCotton
Kevin Cramer,R,ND,,Senator - 1st Class,https://www.cramer.senate.gov,CongressmanKevinCramer,SenKevinCramer
Michael Crapo,R,ID,,Senator - 3rd Class,https://www.crapo.senate.gov,mikecrapo,MikeCrapo
Ted Cruz,R,TX,,Senator - 1st Class,https://www.cruz.senate.gov,SenatorTedCruz,SenTedCruz
Steve Daines,R,MT,,Senator - 2nd Class,https://www.daines.senate.gov,SteveDainesMT,SteveDaines
Tammy Duckworth,D,IL,,Senator - 3rd Class,https://www.duckworth.senate.gov,SenDuckworth,SenDuckworth
Richard Durbin,D,IL,,Senator - 2nd Class,https://www.durbin.senate.gov,SenatorDurbin,SenatorDurbin
Michael Enzi,R,WY,,Senator - 2nd Class,https://www.enzi.senate.gov,mikeenzi,SenatorEnzi
Joni Ernst,R,IA,,Senator - 2nd Class,https://www.ernst.senate.gov/public,senjoniernst,SenJoniErnst
Dianne Feinstein,D,CA,,Senator - 1st Class,https://www.feinstein.senate.gov,senatorfeinstein,SenFeinstein
Deb Fischer,R,NE,,Senator - 1st Class,https://www.fischer.senate.gov,senatordebfischer,SenatorFischer
Cory Gardner,R,CO,,Senator - 2nd Class,https://www.gardner.senate.gov,SenCoryGardner,SenCoryGardner
Kirsten Gillibrand,D,NY,,Senator - 1st Class,https://www.gillibrand.senate.gov,SenKirstenGillibrand,GillibrandNY
Lindsey Graham,R,SC,,Senator - 2nd Class,https://www.lgraham.senate.gov/public,USSenatorLindseyGraham,GrahamBlog
Charles Grassley,R,IA,,Senator - 3rd Class,https://www.grassley.senate.gov,grassley,ChuckGrassley
Kamala Harris,D,CA,,Senator - 3rd Class,https://www.harris.senate.gov,SenatorKamalaHarris,SenKamalaHarris
Margaret Hassan,D,NH,,Senator - 3rd Class,https://www.hassan.senate.gov,SenatorHassan,Senatorhassan
Joshua Hawley,R,MO,,Senator - 1st Class,https://www.hawley.senate.gov,,SenHawleyPress
Martin Heinrich,D,NM,,Senator - 1st Class,https://www.heinrich.senate.gov,MartinHeinrich,MartinHeinrich
Mazie Hirono,D,HI,,Senator - 1st Class,https://www.hirono.senate.gov,senatorhirono,MazieHirono
John Hoeven,R,ND,,Senator - 3rd Class,https://www.hoeven.senate.gov,SenatorJohnHoeven,SenJohnHoeven
Cindy Hyde-Smith,R,MS,,Senator - 2nd Class,https://www.hydesmith.senate.gov,,SenHydeSmith
James Inhofe,R,OK,,Senator - 2nd Class,https://www.inhofe.senate.gov,jiminhofe,InhofePress
Johnny Isakson,R,GA,,Senator - 3rd Class,https://www.isakson.senate.gov,,SenatorIsakson
Ron Johnson,R,WI,,Senator - 3rd Class,https://www.ronjohnson.senate.gov,senronjohnson,SenRonJohnson
Doug Jones,D,AL,,Senator - 2nd Class,https://www.jones.senate.gov,senatordougjones,sendougjones
Tim Kaine,D,VA,,Senator - 1st Class,https://www.kaine.senate.gov,SenatorKaine,
John Kennedy,R,LA,,Senator - 3rd Class,https://www.kennedy.senate.gov/public,JohnKennedyLouisiana,SenJohnKennedy
Angus King,ID,ME,,Senator - 1st Class,https://www.king.senate.gov,SenatorAngusSKingJr,SenAngusKing
Amy Klobuchar,D,MN,,Senator - 1st Class,https://www.klobuchar.senate.gov,,SenAmyKlobuchar
James Lankford,R,OK,,Senator - 3rd Class,https://www.lankford.senate.gov,SenatorLankford,SenatorLankford
Patrick Leahy,D,VT,,Senator - 3rd Class,https://www.leahy.senate.gov,SenatorPatrickLeahy,SenatorLeahy
Mike Lee,R,UT,,Senator - 3rd Class,https://www.lee.senate.gov/public,senatormikelee,SenMikeLee
Joe Manchin,D,WV,,Senator - 1st Class,https://www.manchin.senate.gov,JoeManchinIII,Sen_JoeManchin
Edward Markey,D,MA,,Senator - 2nd Class,https://www.markey.senate.gov,EdJMarkey,SenMarkey
Mitch McConnell,R,KY,,Senator - 2nd Class,https://www.mcconnell.senate.gov,mitchmcconnell,McConnellPress
Martha McSally,R,AZ,,Senator - 3rd Class,https://www.mcsally.senate.gov,SenMarthaMcSally,SenMcSallyAZ
Robert Menendez,D,NJ,,Senator - 1st Class,https://www.menendez.senate.gov,senatormenendez,SenatorMenendez
Jeff Merkley,D,OR,,Senator - 2nd Class,https://www.merkley.senate.gov,jeffmerkley,SenJeffMerkley
Jerry Moran,R,KS,,Senator - 3rd Class,https://www.moran.senate.gov,jerrymoran,JerryMoran
Lisa Murkowski,R,AK,,Senator - 3rd Class,https://www.murkowski.senate.gov,SenLisaMurkowski,LisaMurkowski
Christopher Murphy,D,CT,,Senator - 1st Class,https://www.murphy.senate.gov,chrismurphyct,senmurphyoffice
Patty Murray,D,WA,,Senator - 3rd Class,https://www.murray.senate.gov/public,,PattyMurray
Rand Paul,R,KY,,Senator - 3rd Class,https://www.paul.senate.gov,SenatorRandPaul,RandPaul
David Perdue,R,GA,,Senator - 2nd Class,https://www.perdue.senate.gov,SenatorDavidPerdue,sendavidperdue
Gary Peters,D,MI,,Senator - 2nd Class,https://www.peters.senate.gov,SenGaryPeters,SenGaryPeters
Rob Portman,R,OH,,Senator - 3rd Class,https://www.portman.senate.gov,senrobportman,SenRobPortman
Jack Reed,D,RI,,Senator - 2nd Class,https://www.reed.senate.gov,SenJackReed,SenJackReed
Jim Risch,R,ID,,Senator - 2nd Class,https://www.risch.senate.gov,senatorjimrisch,SenatorRisch
Pat Roberts,R,KS,,Senator - 2nd Class,https://www.roberts.senate.gov,SenPatRoberts,SenPatRoberts
Mitt Romney,R,UT,,Senator - 1st Class,https://www.romney.senate.gov,,SenatorRomney
Jacky Rosen,D,NV,,Senator - 1st Class,https://www.rosen.senate.gov,RepJackyRosen,SenJackyRosen
Mike Rounds,R,SD,,Senator - 2nd Class,https://www.rounds.senate.gov,SenatorMikeRounds,SenatorRounds
Marco Rubio,R,FL,,Senator - 3rd Class,https://www.rubio.senate.gov,SenatorMarcoRubio,SenRubioPress
Bernard Sanders,ID,VT,,Senator - 1st Class,https://www.sanders.senate.gov,senatorsanders,SenSanders
Ben Sasse,R,NE,,Senator - 2nd Class,https://www.sasse.senate.gov/public,SenatorSasse,SenSasse
Brian Schatz,D,HI,,Senator - 3rd Class,https://www.schatz.senate.gov,SenBrianSchatz,SenBrianSchatz
Charles Schumer,D,NY,,Senator - 3rd Class,https://www.schumer.senate.gov,senschumer,SenSchumer
Rick Scott,R,FL,,Senator - 1st Class,https://www.rickscott.senate.gov,,SenRickScott
Tim Scott,R,SC,,Senator - 3rd Class,https://www.scott.senate.gov,SenatorTimScott,SenatorTimScott
Jeanne Shaheen,D,NH,,Senator - 2nd Class,https://www.shaheen.senate.gov,SenatorShaheen,SenatorShaheen
Richard Shelby,R,AL,,Senator - 3rd Class,https://www.shelby.senate.gov,RichardShelby,SenShelby
Kyrsten Sinema,D,AZ,,Senator - 1st Class,https://www.sinema.senate.gov,CongresswomanSinema,SenatorSinema
Tina Smith,D,MN,,Senator - 2nd Class,https://www.smith.senate.gov,USSenTinaSmith,SenTinaSmith
Debbie Stabenow,D,MI,,Senator - 1st Class,https://www.stabenow.senate.gov,SenatorStabenow,SenStabenow
Dan Sullivan,R,AK,,Senator - 2nd Class,https://www.sullivan.senate.gov,SenDanSullivan,SenDanSullivan
Jon Tester,D,MT,,Senator - 1st Class,https://www.tester.senate.gov,senatortester,SenatorTester
John Thune,R,SD,,Senator - 3rd Class,https://www.thune.senate.gov,,SenJohnThune
Thom Tillis,R,NC,,Senator - 2nd Class,https://www.tillis.senate.gov,SenatorThomTillis,senthomtillis
Patrick Toomey,R,PA,,Senator - 3rd Class,https://www.toomey.senate.gov,senatortoomey,SenToomey
Tom Udall,D,NM,,Senator - 2nd Class,https://www.tomudall.senate.gov,senatortomudall,SenatorTomUdall
Chris Van Hollen,D,MD,,Senator - 3rd Class,https://www.vanhollen.senate.gov,chrisvanhollen,ChrisVanHollen
Mark Warner,D,VA,,Senator - 2nd Class,https://www.warner.senate.gov,MarkRWarner,MarkWarner
Elizabeth Warren,D,MA,,Senator - 1st Class,https://www.warren.senate.gov,senatorelizabethwarren,SenWarren
Sheldon Whitehouse,D,RI,,Senator - 1st Class,https://www.whitehouse.senate.gov,SenatorWhitehouse,SenWhitehouse
Roger Wicker,R,MS,,Senator - 1st Class,https://www.wicker.senate.gov,SenatorWicker,SenatorWicker
Ron Wyden,D,OR,,Senator - 3rd Class,https://www.wyden.senate.gov,,RonWyden
Todd Young,R,IN,,Senator - 3rd Class,https://www.young.senate.gov,SenatorToddYoung,SenToddYoung
